r,K,H,t_year,A,P2025
0,136.2022422303813,0.1875,45,5.29,0.005576363976250358
0,136.2022422303813,0.20833333333333331,45,5.29,0.0021837899049881224
0,136.2022422303813,0.22916666666666666,45,5.29,8.551927563811737e-4
0,136.2022422303813,0.25,45,5.29,3.348995746131451e-4
0,136.2022422303813,0.2708333333333333,45,5.29,1.3114875398145213e-4
0,136.2022422303813,0.29166666666666663,45,5.29,5.135862007775757e-5
0,136.2022422303813,0.3125,45,5.29,2.0112329214795832e-5
0,136.2022422303813,0.3333333333333333,45,5.29,7.87610199366872e-6
0,136.2022422303813,0.35416666666666663,45,5.29,3.0843259655117234e-6
0,136.2022422303813,0.375,45,5.29,1.2078394192403935e-6
0,136.2022422303813,0.3958333333333333,45,5.29,4.729967152485024e-7
0,136.2022422303813,0.41666666666666663,45,5.29,1.8522817548230791e-7
0,136.2022422303813,0.4375,45,5.29,7.253639579796486e-8
0,136.2022422303813,0.4583333333333333,45,5.29,2.8405660742542044e-8
0,136.2022422303813,0.47916666666666663,45,5.29,1.1123816577663156e-8
0,136.2022422303813,0.5,45,5.29,4.356149162149995e-9
0,196.38462833217767,0,45,5.29,31.22172151544955
0,196.38462833217767,0.020833333333333332,45,5.29,13.535843650713755
0,196.38462833217767,0.041666666666666664,45,5.29,5.532719866731534
0,196.38462833217767,0.0625,45,5.29,2.2044286210765125
0,196.38462833217767,0.08333333333333333,45,5.29,0.869202663855772
0,196.38462833217767,0.10416666666666666,45,5.29,0.34130370517921016
0,196.38462833217767,0.125,45,5.29,0.13379792256479864
0,196.38462833217767,0.14583333333333331,45,5.29,0.052417746596738694
0,196.38462833217767,0.16666666666666666,45,5.29,0.020530418414797934
0,196.38462833217767,0.1875,45,5.29,0.008040338756454005
0,196.38462833217767,0.20833333333333331,45,5.29,0.003148720328122409
0,196.38462833217767,0.22916666666666666,45,5.29,0.0012330686254798317
0,196.38462833217767,0.25,45,5.29,4.828784564189533e-4
0,196.38462833217767,0.2708333333333333,45,5.29,1.89098203415117e-4
0,196.38462833217767,0.29166666666666663,45,5.29,7.405196383304579e-5
0,196.38462833217767,0.3125,45,5.29,2.8999172356217245e-5
0,196.38462833217767,0.3333333333333333,45,5.29,1.1356240083894433e-5
0,196.38462833217767,0.35416666666666663,45,5.29,4.44716767120295e-6
0,196.38462833217767,0.375,45,5.29,1.74153590681173e-6
0,196.38462833217767,0.3958333333333333,45,5.29,6.819952638466778e-7
0,196.38462833217767,0.41666666666666663,45,5.29,2.6707318325356024e-7
0,196.38462833217767,0.4375,45,5.29,1.0458736138311211e-7
0,196.38462833217767,0.4583333333333333,45,5.29,4.0956999210176896e-8
0,196.38462833217767,0.47916666666666663,45,5.29,1.6038991344537572e-8
0,196.38462833217767,0.5,45,5.29,6.28095925705348e-9
0,256.56701443397407,0,45,5.29,40.78966843147441
0,256.56701443397407,0.020833333333333332,45,5.29,17.683924769480875
0,256.56701443397407,0.041666666666666664,45,5.29,7.228230793633133
0,256.56701443397407,0.0625,45,5.29,2.879979327535444
0,256.56701443397407,0.08333333333333333,45,5.29,1.1355712221341538
0,256.56701443397407,0.10416666666666666,45,5.29,0.44589677612122625
0,256.56701443397407,0.125,45,5.29,0.17480051173788208
0,256.56701443397407,0.14583333333333331,45,5.29,0.06848124958606185
0,256.56701443397407,0.16666666666666666,45,5.29,0.02682199825159085
0,256.56701443397407,0.1875,45,5.29,0.01050431353665765
0,256.56701443397407,0.20833333333333331,45,5.29,0.004113650751256696
0,256.56701443397407,0.22916666666666666,45,5.29,0.00161094449457849
0,256.56701443397407,0.25,45,5.29,6.308573382247616e-4
0,256.56701443397407,0.2708333333333333,45,5.29,2.470476528487819e-4
0,256.56701443397407,0.29166666666666663,45,5.29,9.674530758833403e-5
0,256.56701443397407,0.3125,45,5.29,3.7886015497638664e-5
0,256.56701443397407,0.3333333333333333,45,5.29,1.4836378174120147e-5
0,256.56701443397407,0.35416666666666663,45,5.29,5.810009376894176e-6
0,256.56701443397407,0.375,45,5.29,2.275232394383067e-6
0,256.56701443397407,0.3958333333333333,45,5.29,8.909938124448533e-7
0,256.56701443397407,0.41666666666666663,45,5.29,3.489181910248126e-7
0,256.56701443397407,0.4375,45,5.29,1.3663832696825938e-7
0,256.56701443397407,0.4583333333333333,45,5.29,5.3508337677811755e-8
0,256.56701443397407,0.47916666666666663,45,5.29,2.0954166111411987e-8
0,256.56701443397407,0.5,45,5.29,8.205769351956966e-9
0,316.74940053577046,0,45,5.29,50.35761534749928
0,316.74940053577046,0.020833333333333332,45,5.29,21.83200588824799
0,316.74940053577046,0.041666666666666664,45,5.29,8.923741720534734
0,316.74940053577046,0.0625,45,5.29,3.5555300339943754
0,316.74940053577046,0.08333333333333333,45,5.29,1.4019397804125358
0,316.74940053577046,0.10416666666666666,45,5.29,0.5504898470632423
0,316.74940053577046,0.125,45,5.29,0.21580310091096555
0,316.74940053577046,0.14583333333333331,45,5.29,0.084544752575385
0,316.74940053577046,0.16666666666666666,45,5.29,0.03311357808838376
0,316.74940053577046,0.1875,45,5.29,0.012968288316861297
0,316.74940053577046,0.20833333333333331,45,5.29,0.005078581174390982
0,316.74940053577046,0.22916666666666666,45,5.29,0.001988820363677148
0,316.74940053577046,0.25,45,5.29,7.788362200305699e-4
0,316.74940053577046,0.2708333333333333,45,5.29,3.0499710228244683e-4
0,316.74940053577046,0.29166666666666663,45,5.29,1.1943865134362226e-4
0,316.74940053577046,0.3125,45,5.29,4.677285863906008e-5
0,316.74940053577046,0.3333333333333333,45,5.29,1.831651626434586e-5
0,316.74940053577046,0.35416666666666663,45,5.29,7.172851082585403e-6
0,316.74940053577046,0.375,45,5.29,2.8089288819544036e-6
0,316.74940053577046,0.3958333333333333,45,5.29,1.0999923610430288e-6
0,316.74940053577046,0.41666666666666663,45,5.29,4.307631987960649e-7
0,316.74940053577046,0.4375,45,5.29,1.6868929255340663e-7
0,316.74940053577046,0.4583333333333333,45,5.29,6.605967614544662e-8
0,316.74940053577046,0.47916666666666663,45,5.29,2.5869340878286406e-8
0,316.74940053577046,0.5,45,5.29,1.0130579446860453e-8
0,376.9317866375668,0,45,5.29,59.925562263524135
0,376.9317866375668,0.020833333333333332,45,5.29,25.980087007015108
0,376.9317866375668,0.041666666666666664,45,5.29,10.619252647436332
0,376.9317866375668,0.0625,45,5.29,4.231080740453306
0,376.9317866375668,0.08333333333333333,45,5.29,1.6683083386909172
0,376.9317866375668,0.10416666666666666,45,5.29,0.6550829180052582
0,376.9317866375668,0.125,45,5.29,0.25680569008404897
0,376.9317866375668,0.14583333333333331,45,5.29,0.10060825556470814
0,376.9317866375668,0.16666666666666666,45,5.29,0.039405157925176675
0,376.9317866375668,0.1875,45,5.29,0.015432263097064943
0,376.9317866375668,0.20833333333333331,45,5.29,0.006043511597525268
0,376.9317866375668,0.22916666666666666,45,5.29,0.0023666962327758057
0,376.9317866375668,0.25,45,5.29,9.268151018363781e-4
0,376.9317866375668,0.2708333333333333,45,5.29,3.6294655171611166e-4
0,376.9317866375668,0.29166666666666663,45,5.29,1.4213199509891046e-4
0,376.9317866375668,0.3125,45,5.29,5.565970178048148e-5
0,376.9317866375668,0.3333333333333333,45,5.29,2.179665435457157e-5
0,376.9317866375668,0.35416666666666663,45,5.29,8.535692788276628e-6
0,376.9317866375668,0.375,45,5.29,3.34262536952574e-6
0,376.9317866375668,0.3958333333333333,45,5.29,1.308990909641204e-6
0,376.9317866375668,0.41666666666666663,45,5.29,5.126082065673171e-7
0,376.9317866375668,0.4375,45,5.29,2.0074025813855386e-7
0,376.9317866375668,0.4583333333333333,45,5.29,7.861101461308147e-8
0,376.9317866375668,0.47916666666666663,45,5.29,3.078451564516082e-8
0,376.9317866375668,0.5,45,5.29,1.2055389541763938e-8
0,437.1141727393632,0,45,5.29,69.493509179549
0,437.1141727393632,0.020833333333333332,45,5.29,30.128168125782228
0,437.1141727393632,0.041666666666666664,45,5.29,12.314763574337931
0,437.1141727393632,0.0625,45,5.29,4.906631446912238
0,437.1141727393632,0.08333333333333333,45,5.29,1.9346768969692991
0,437.1141727393632,0.10416666666666666,45,5.29,0.7596759889472743
0,437.1141727393632,0.125,45,5.29,0.29780827925713244
0,437.1141727393632,0.14583333333333331,45,5.29,0.1166717585540313
0,437.1141727393632,0.16666666666666666,45,5.29,0.04569673776196959
0,437.1141727393632,0.1875,45,5.29,0.01789623787726859
0,437.1141727393632,0.20833333333333331,45,5.29,0.007008442020659555
0,437.1141727393632,0.22916666666666666,45,5.29,0.002744572101874464
0,437.1141727393632,0.25,45,5.29,0.0010747939836421865
0,437.1141727393632,0.2708333333333333,45,5.29,4.208960011497766e-4
0,437.1141727393632,0.29166666666666663,45,5.29,1.648253388541987e-4
0,437.1141727393632,0.3125,45,5.29,6.45465449219029e-5
0,437.1141727393632,0.3333333333333333,45,5.29,2.5276792444797285e-5
0,437.1141727393632,0.35416666666666663,45,5.29,9.898534493967854e-6
0,437.1141727393632,0.375,45,5.29,3.876321857097076e-6
0,437.1141727393632,0.3958333333333333,45,5.29,1.5179894582393796e-6
0,437.1141727393632,0.41666666666666663,45,5.29,5.944532143385695e-7
0,437.1141727393632,0.4375,45,5.29,2.3279122372370114e-7
0,437.1141727393632,0.4583333333333333,45,5.29,9.116235308071633e-8
0,437.1141727393632,0.47916666666666663,45,5.29,3.5699690412035236e-8
0,437.1141727393632,0.5,45,5.29,1.3980199636667425e-8
0,497.2965588411596,0,45,5.29,79.06145609557386
0,497.2965588411596,0.020833333333333332,45,5.29,34.27624924454935
0,497.2965588411596,0.041666666666666664,45,5.29,14.01027450123953
0,497.2965588411596,0.0625,45,5.29,5.582182153371169
0,497.2965588411596,0.08333333333333333,45,5.29,2.201045455247681
0,497.2965588411596,0.10416666666666666,45,5.29,0.8642690598892904
